"unidade";"equipe";"ind_8.num";"ind_8.den";"ind_9.1.num";"ind_9.2.num";"ind_9.3.num";"ind_9.den";"ind_13.num";"ind_13.den";"ind_16.num";"ind_16.den";"ind_3.1";"ind_3.2";"ind_3.3";"ind_3.4";"ind_3.5";"ind_3.6";"ind_3.7";"ind_3.9";"ind_3.11";"ind_3.13";"ind_3.14"
"CS ABRAAO";"570";"1921";"1928";"375";"1464";"1542";"2595";"152";"1617";"25";"84";"2977";"2477";"2493";"664";"139";"494";"871";"42";"4";"16";"452"
"CS ABRAAO";"571";"1633";"1640";"325";"1425";"938";"2187";"132";"1558";"16";"101";"2632";"2324";"1895";"578";"88";"619";"902";"51";"5";"4";"405"
"CS ABRAAO";"572";"1513";"1519";"248";"1212";"1027";"2091";"147";"1367";"31";"179";"2410";"2011";"1854";"447";"84";"607";"787";"32";"4";"3";"432"
"CS AGRONOMICA";"690";"1589";"1608";"264";"1429";"842";"2196";"188";"1618";"31";"82";"2385";"2093";"1624";"539";"134";"252";"555";"73";"11";"16";"290"
"CS AGRONOMICA";"691";"1689";"1723";"348";"1522";"864";"2291";"144";"1666";"9";"43";"2470";"2224";"1629";"641";"203";"225";"604";"60";"4";"15";"408"
"CS AGRONOMICA";"692";"1376";"1406";"215";"1175";"890";"2084";"188";"1367";"11";"30";"2240";"1871";"1543";"436";"126";"262";"530";"86";"9";"9";"282"
"CS AGRONOMICA";"693";"1361";"1384";"200";"1210";"904";"1862";"124";"1339";"18";"50";"2155";"1895";"1615";"435";"97";"371";"685";"51";"5";"14";"295"
"CS AGRONOMICA";"694";"1616";"1644";"282";"1378";"1092";"2048";"102";"1480";"25";"63";"2261";"1991";"1751";"507";"149";"265";"574";"39";"6";"25";"292"
"CS AGRONOMICA";"695";"1378";"1396";"296";"1180";"902";"1869";"79";"1260";"3";"43";"2017";"1746";"1596";"534";"201";"77";"391";"32";"4";"19";"230"
"CS ALTO RIBEIRAO";"210";"2032";"2060";"573";"1617";"1322";"2567";"791";"2408";"8";"28";"2981";"2463";"2183";"949";"171";"382";"863";"39";"9";"19";"376"
"CS ALTO RIBEIRAO";"211";"1454";"1466";"411";"1136";"887";"1714";"350";"1487";"10";"35";"1911";"1593";"1333";"605";"117";"275";"547";"19";"2";"5";"270"
"CS ALTO RIBEIRAO";"212";"1250";"1271";"348";"911";"862";"1685";"339";"1253";"8";"28";"1873";"1513";"1367";"584";"115";"253";"515";"20";"2";"10";"270"
"CS ARMACAO";"240";"1791";"1846";"368";"1507";"941";"2578";"565";"2073";"10";"50";"2937";"2470";"1948";"646";"128";"553";"878";"50";"7";"15";"349"
"CS ARMACAO";"241";"1378";"1414";"295";"1143";"943";"1877";"382";"1528";"12";"46";"2095";"1783";"1652";"500";"104";"308";"637";"35";"1";"7";"275"
"CS ARMACAO";"242";"8";"8";"0";"7";"3";"14";"25";"32";NA;NA;"14";"12";"9";"0";"0";"1";"11";"0";"0";"0";"5"
"CS BALNEARIO";"20";"1627";"1629";"270";"1297";"1134";"2349";"331";"1628";"41";"153";"2539";"2053";"2023";"490";"86";"546";"765";"47";"7";"4";"506"
"CS BALNEARIO";"21";"1599";"1604";"260";"1360";"1048";"2245";"209";"1569";"11";"60";"2488";"2083";"2083";"512";"81";"561";"831";"48";"7";"7";"262"
"CS BARRA DA LAGOA";"440";"1831";"1921";"335";"1673";"806";"2531";"259";"1933";"9";"48";"2713";"2435";"1361";"674";"131";"359";"544";"46";"3";"15";"328"
"CS BARRA DA LAGOA";"441";"2007";"2103";"366";"1789";"885";"2801";"330";"2121";"14";"52";"2991";"2591";"1566";"741";"145";"436";"689";"47";"4";"12";"371"
"CS BARRA DA LAGOA";"442";"1356";"1381";"284";"1158";"661";"1796";"150";"1309";"6";"39";"1973";"1718";"1221";"568";"83";"294";"512";"36";"5";"8";"245"
"CS CACHOEIRA DO BOM JESUS";"400";"1903";"1937";"298";"1585";"977";"2775";"727";"2312";"17";"129";"2947";"2490";"1819";"502";"168";"439";"724";"44";"3";"19";"502"
"CS CACHOEIRA DO BOM JESUS";"401";"1607";"1638";"305";"1361";"850";"2260";"644";"2005";"15";"94";"2461";"2166";"1632";"507";"184";"349";"665";"43";"7";"23";"369"
"CS CACHOEIRA DO BOM JESUS";"402";"1487";"1519";"273";"1267";"795";"1946";"507";"1774";"14";"62";"2131";"1887";"1424";"482";"195";"220";"600";"54";"11";"27";"316"
"CS CAIEIRA DA BARRA DO SUL";"200";"1438";"1453";"416";"1230";"858";"1747";"260";"1490";"20";"69";"2117";"1888";"1442";"685";"86";"487";"922";"19";"12";"11";"400"
"CS CAMPECHE";"280";"1794";"1804";"426";"1533";"724";"2504";"836";"2380";"19";"86";"2786";"2400";"1502";"816";"139";"400";"737";"45";"3";"21";"371"
"CS CAMPECHE";"281";"1606";"1624";"324";"1352";"788";"2336";"814";"2172";"7";"87";"2554";"2132";"1719";"654";"135";"410";"663";"44";"3";"9";"326"
"CS CAMPECHE";"282";"1546";"1553";"334";"1260";"832";"2203";"566";"1844";"6";"50";"2372";"1973";"1454";"712";"114";"329";"557";"31";"5";"7";"282"
"CS CAMPECHE";"283";"1328";"1340";"315";"997";"792";"1812";"508";"1517";"6";"67";"1947";"1563";"1418";"588";"94";"318";"454";"29";"4";"11";"262"
"CS CANASVIEIRAS";"380";"1664";"1689";"234";"1330";"864";"2481";"1092";"2422";"14";"134";"2661";"2046";"1726";"423";"161";"354";"677";"54";"8";"10";"468"
"CS CANASVIEIRAS";"381";"2192";"2214";"294";"1713";"1162";"3359";"1360";"3073";"27";"186";"3575";"2785";"2295";"556";"191";"592";"938";"82";"6";"27";"593"
"CS CANASVIEIRAS";"382";"1800";"1817";"272";"1346";"1198";"2438";"1018";"2364";"12";"100";"2775";"2153";"2194";"463";"194";"374";"910";"48";"9";"24";"424"
"CS CANASVIEIRAS";"383";"1982";"2009";"354";"1458";"1471";"2774";"1159";"2663";"6";"102";"3183";"2482";"2725";"599";"266";"306";"967";"36";"4";"42";"591"
"CS CANASVIEIRAS";"384";"2085";"2112";"332";"1501";"1739";"2770";"1039";"2558";"10";"61";"3227";"2581";"2844";"634";"257";"353";"987";"55";"3";"28";"511"
"CS CANASVIEIRAS";"385";"1787";"1804";"338";"1315";"1307";"2395";"888";"2203";"12";"68";"2584";"1929";"2141";"595";"202";"229";"669";"43";"5";"30";"425"
"CS CANTO DA LAGOA";"450";"1785";"1811";"349";"1397";"868";"2230";"307";"1707";"16";"33";"2296";"1874";"1396";"601";"110";"270";"330";"37";"2";"8";"255"
"CS CAPIVARI";"990";"2138";"2154";"408";"1647";"1485";"2679";"771";"2420";"21";"81";"3014";"2527";"2322";"670";"198";"562";"1011";"54";"6";"34";"503"
"CS CAPIVARI";"991";"1999";"2012";"336";"1491";"1351";"3260";"1202";"2695";"51";"126";"3470";"2661";"2579";"646";"252";"376";"787";"59";"14";"14";"520"
"CS CAPIVARI";"992";"1629";"1644";"312";"1223";"1155";"2495";"904";"2128";"14";"47";"2847";"2259";"2193";"547";"163";"447";"924";"45";"2";"15";"406"
"CS CAPIVARI";"993";"1803";"1834";"385";"1508";"1250";"2469";"683";"2193";"15";"104";"2706";"2262";"2060";"597";"178";"323";"801";"40";"11";"25";"431"
"CS CAPIVARI";"994";"2096";"2157";"428";"1765";"1539";"2897";"795";"2560";"9";"103";"3134";"2640";"2446";"715";"256";"372";"901";"54";"9";"34";"502"
"CS CAPIVARI";"995";"761";"770";"163";"613";"584";"851";"195";"808";"23";"47";"957";"807";"790";"221";"64";"146";"333";"14";"5";"21";"177"
"CS CAPOEIRAS";"60";"1674";"1696";"329";"1430";"918";"2255";"276";"1706";"4";"45";"2778";"2448";"1900";"679";"118";"552";"1030";"40";"9";"17";"260"
"CS CAPOEIRAS";"61";"1547";"1564";"392";"1289";"874";"2114";"252";"1541";"14";"67";"2403";"2069";"1692";"638";"88";"370";"789";"55";"5";"13";"356"
"CS CAPOEIRAS";"62";"1532";"1547";"305";"1185";"1099";"2227";"298";"1483";"15";"103";"2446";"1950";"1898";"550";"101";"430";"908";"48";"4";"7";"363"
"CS CARIANOS";"270";"1653";"1696";"322";"1367";"807";"2479";"378";"1746";"20";"86";"2664";"2318";"1643";"581";"140";"372";"683";"45";"1";"11";"291"
"CS CARIANOS";"271";"1869";"1944";"426";"1506";"1093";"2893";"503";"2012";"16";"117";"3108";"2675";"1995";"758";"152";"355";"714";"43";"3";"6";"392"
"CS CARIANOS";"272";"1315";"1339";"322";"1144";"762";"1662";"169";"1313";"23";"93";"1849";"1693";"1238";"534";"103";"286";"522";"25";"2";"15";"312"
"CS CENTRO";"950";"1527";"1537";"201";"1140";"1074";"2433";"248";"1388";"17";"71";"2679";"2090";"1967";"426";"73";"613";"676";"103";"9";"3";"384"
"CS CENTRO";"951";"1222";"1226";"135";"925";"814";"1971";"189";"1114";"2";"29";"2070";"1596";"1456";"310";"50";"466";"418";"65";"6";"2";"233"
"CS CENTRO";"952";"1380";"1386";"152";"1216";"925";"1994";"234";"1450";"28";"76";"2178";"1880";"1593";"349";"69";"501";"594";"83";"10";"6";"362"
"CS CENTRO";"953";"1795";"1801";"235";"1539";"1189";"2496";"177";"1716";"19";"88";"3008";"2626";"2233";"536";"93";"692";"1043";"150";"11";"10";"445"
"CS COLONINHA";"70";"1543";"1562";"497";"1173";"866";"2287";"646";"1819";"4";"57";"2604";"2164";"1762";"898";"121";"474";"894";"56";"4";"12";"514"
"CS COLONINHA";"71";"1331";"1339";"346";"973";"728";"2035";"384";"1358";"8";"63";"2171";"1631";"1479";"624";"83";"372";"625";"38";"2";"17";"280"
"CS COLONINHA";"72";"1672";"1681";"464";"1362";"690";"2479";"318";"1681";"9";"105";"2720";"2187";"1761";"799";"105";"559";"934";"50";"7";"9";"500"
"CS COQUEIROS";"600";"1263";"1271";"260";"1092";"796";"1772";"165";"1257";"1";"56";"2027";"1761";"1555";"432";"52";"492";"672";"34";"2";"9";"277"
"CS COQUEIROS";"601";"1647";"1663";"408";"1364";"911";"2280";"173";"1537";"5";"62";"2525";"2165";"1804";"677";"94";"566";"764";"66";"7";"14";"321"
"CS COQUEIROS";"602";"1683";"1687";"391";"1350";"948";"2469";"228";"1579";"26";"86";"2764";"2311";"1965";"672";"97";"597";"840";"61";"9";"11";"362"
"CS CORREGO GRANDE";"170";"1351";"1352";"180";"1107";"713";"2061";"133";"1240";"13";"43";"2228";"1754";"1643";"335";"93";"334";"420";"17";"2";"1";"306"
"CS CORREGO GRANDE";"171";"1272";"1276";"186";"1076";"656";"1968";"113";"1191";"12";"35";"2047";"1685";"1391";"312";"105";"326";"354";"21";"5";"6";"205"
"CS CORREGO GRANDE";"172";"1197";"1203";"274";"1051";"737";"1563";"80";"1131";"7";"17";"1659";"1475";"1295";"438";"97";"158";"342";"24";"1";"6";"283"
"CS CORREGO GRANDE";"173";"1536";"1542";"222";"1302";"994";"2072";"64";"1369";"10";"48";"2192";"1832";"1714";"341";"98";"381";"417";"31";"5";"9";"262"
"CS COSTA DA LAGOA";"460";"610";"635";"130";"564";"322";"756";"51";"615";"0";"8";"824";"764";"525";"270";"36";"141";"219";"4";"0";"0";"121"
"CS COSTEIRA DO PIRAJUBAE";"300";"1558";"1617";"395";"1205";"1038";"2176";"465";"1670";"11";"52";"2576";"2111";"1969";"662";"145";"359";"788";"48";"4";"15";"376"
"CS COSTEIRA DO PIRAJUBAE";"301";"1651";"1701";"421";"1411";"955";"2146";"385";"1796";"17";"87";"2401";"2059";"1693";"689";"130";"360";"745";"49";"7";"14";"379"
"CS COSTEIRA DO PIRAJUBAE";"302";"1779";"1829";"449";"1451";"1016";"2497";"896";"2347";"17";"61";"2757";"2263";"1943";"767";"158";"348";"811";"51";"3";"18";"397"
"CS COSTEIRA DO PIRAJUBAE";"303";"1856";"1875";"401";"1571";"1189";"2376";"339";"1910";"7";"60";"2965";"2627";"2261";"769";"168";"509";"1105";"67";"3";"16";"405"
"CS ESTREITO";"80";"1608";"1612";"287";"1403";"1106";"2187";"233";"1639";"28";"85";"2453";"2120";"1891";"526";"82";"597";"763";"24";"8";"3";"371"
"CS ESTREITO";"81";"1979";"1982";"368";"1810";"955";"2528";"218";"2029";"21";"98";"3170";"2903";"2120";"740";"99";"716";"1222";"64";"4";"12";"470"
"CS ESTREITO";"82";"1914";"1917";"324";"1467";"1321";"2403";"146";"1613";"24";"76";"2623";"2126";"1971";"565";"79";"537";"672";"44";"2";"6";"319"
"CS ESTREITO";"83";"1774";"1774";"490";"1463";"1304";"2353";"229";"1693";"10";"62";"2890";"2463";"2371";"973";"116";"556";"1009";"51";"7";"5";"462"
"CS FAZENDA DO RIO TAVARES";"780";"1934";"1951";"440";"1539";"1135";"2595";"971";"2513";"11";"55";"2902";"2349";"2107";"775";"133";"373";"727";"48";"7";"17";"417"
"CS FAZENDA DO RIO TAVARES";"781";"2191";"2207";"458";"1875";"737";"3279";"1489";"3370";"9";"60";"3664";"3145";"1718";"837";"181";"553";"1069";"56";"13";"18";"489"
"CS FAZENDA DO RIO TAVARES";"782";"1745";"1755";"430";"1466";"806";"2213";"599";"2065";"9";"52";"2432";"2012";"1520";"661";"161";"313";"668";"40";"5";"21";"285"
"CS INGLESES";"430";"1";"1";"0";"1";"0";"1";"6";"7";NA;NA;"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CS INGLESES";"431";"1781";"1803";"358";"1422";"1119";"2380";"568";"1990";"15";"44";"2695";"2229";"1954";"613";"154";"535";"869";"58";"4";"16";"432"
"CS INGLESES";"432";"2168";"2200";"387";"1790";"1237";"3030";"1041";"2832";"30";"79";"3312";"2727";"2354";"659";"228";"509";"941";"59";"0";"17";"533"
"CS INGLESES";"433";"1799";"1852";"371";"1434";"1029";"2823";"1080";"2514";"3";"50";"2967";"2337";"2022";"599";"250";"311";"756";"72";"8";"25";"492"
"CS INGLESES";"434";"2025";"2052";"473";"1488";"1142";"3340";"1383";"2874";"7";"64";"3568";"2681";"2504";"781";"225";"579";"938";"79";"10";"24";"574"
"CS INGLESES";"435";"1375";"1417";"295";"1049";"905";"1800";"676";"1725";"5";"36";"1956";"1557";"1430";"484";"185";"178";"522";"41";"3";"17";"315"
"CS INGLESES";"436";"1981";"2030";"394";"1556";"1336";"2860";"924";"2480";"11";"34";"3401";"2803";"2592";"694";"175";"600";"1168";"58";"7";"20";"662"
"CS INGLESES";"437";"1750";"1795";"374";"1307";"1221";"2726";"922";"2229";"15";"54";"3000";"2307";"2371";"653";"188";"419";"891";"50";"5";"31";"450"
"CS INGLESES";"438";"1";"1";"1";"0";"0";"7";"21";"21";NA;NA;"7";"4";"0";"3";"0";"1";"1";"0";"0";"0";"1"
"CS ITACORUBI";"190";"2133";"2145";"422";"1419";"1492";"3044";"192";"1612";"24";"76";"3208";"2347";"2475";"660";"137";"321";"524";"54";"4";"10";"380"
"CS ITACORUBI";"191";"1511";"1516";"285";"1062";"1071";"2197";"147";"1209";"21";"47";"2285";"1734";"1696";"448";"82";"264";"341";"33";"2";"5";"264"
"CS ITACORUBI";"192";"2026";"2045";"585";"1836";"1020";"2473";"88";"1925";"8";"35";"2738";"2508";"1869";"961";"178";"218";"623";"66";"3";"10";"180"
"CS ITACORUBI";"193";"1622";"1625";"294";"1223";"1092";"2333";"103";"1326";"4";"32";"2548";"2040";"1863";"503";"121";"284";"544";"44";"3";"3";"251"
"CS ITACORUBI";"194";"1153";"1160";"209";"931";"778";"1507";"62";"993";"21";"44";"1761";"1495";"1290";"367";"52";"361";"528";"25";"2";"7";"227"
